t_sec,phase,total_python_rss_mb,command_centre_rss_mb,triage_rss_mb,gateway_rss_mb,traffic_rss_mb,python_proc_count
1.89,warmup,399.051,15.859,16.102,nan,nan,70
4.7,warmup,399.629,16.031,16.105,nan,nan,70
8.65,burst,449.324,16.094,16.184,nan,4.023,72
15.36,burst,462.262,16.191,16.184,nan,3.684,72
18.6,burst,466.324,16.203,16.188,nan,3.684,72
21.41,burst,479.703,16.223,16.527,nan,3.684,72
25.61,burst,486.035,16.238,22.355,nan,3.684,72
29.21,burst,478.523,16.266,27.566,nan,3.516,72
32.78,burst,498.348,16.301,30.578,nan,3.516,72
36.86,burst,507.66,16.449,33.098,nan,3.492,72
41.3,burst,512.746,16.508,33.414,nan,3.492,72
44.81,burst,518.328,16.59,35.059,nan,3.492,72
48.83,burst,524.641,16.672,36.738,nan,3.492,72
52.45,burst,530.484,16.695,36.988,nan,3.492,72
56.58,burst,536.91,16.777,39.328,nan,3.492,72
60.48,burst,543.375,16.832,40.328,nan,3.492,72
63.82,burst,549.586,16.836,43.254,nan,3.492,72
67.21,burst,553.922,16.836,44.098,nan,3.492,72
71.31,burst,557.039,16.836,45.691,nan,3.492,72
74.68,burst,458.414,16.836,42.441,nan,nan,70
78.54,sustained,509.695,16.848,42.449,nan,4.02,72
81.98,sustained,543.168,16.875,42.449,nan,4.02,72
87.6,sustained,533.309,16.805,45.602,nan,3.68,72
91.14,sustained,530.859,16.82,45.871,nan,3.68,72
94.59,sustained,531.453,16.82,45.934,nan,3.68,72
98.36,sustained,532.219,16.824,46.008,nan,3.68,72
102.08,sustained,532.688,16.828,46.211,nan,3.68,72
106.23,sustained,538.035,16.828,52.773,nan,3.66,72
110.01,sustained,557.492,16.828,52.887,nan,3.66,72
114.74,sustained,580.523,16.836,68.02,nan,3.66,72
118.75,sustained,585.551,16.93,71.566,nan,3.66,72
122.28,sustained,592.406,17.07,74.086,nan,3.66,72
126.18,sustained,596.996,17.086,75.066,nan,3.66,72
130.78,sustained,598.164,17.086,75.727,nan,3.66,72
134.22,sustained,597.91,17.086,76.227,nan,3.66,72
137.85,sustained,593.672,17.094,71.363,nan,3.66,72
141.13,sustained,597.945,17.098,74.145,nan,3.66,72
145.88,cooldown,501.629,17.113,74.145,nan,nan,70
149.0,cooldown,502.387,17.129,74.145,nan,nan,70
