t_sec,phase,total_python_rss_mb,command_centre_rss_mb,triage_rss_mb,gateway_rss_mb,traffic_rss_mb,python_proc_count
3.79,warmup,391.281,15.094,16.953,nan,nan,70
9.54,burst,403.977,15.762,16.953,nan,4.02,72
14.87,burst,422.367,16.039,16.953,nan,4.02,72
20.14,burst,379.145,15.789,13.543,nan,3.68,72
25.71,burst,398.637,16.117,10.316,nan,3.512,72
32.28,burst,432.719,16.195,39.984,nan,1.762,72
39.2,burst,387.984,15.906,55.66,nan,0.566,72
43.95,burst,306.949,13.996,55.797,nan,0.355,72
48.79,burst,240.777,13.84,29.98,nan,0.223,72
56.76,burst,210.414,14.281,16.348,nan,0.047,72
61.62,burst,194.676,14.781,14.957,nan,0.047,72
64.55,burst,193.152,13.934,11.816,nan,0.148,72
67.91,burst,227.988,13.98,12.695,nan,0.141,72
70.85,burst,230.848,14.039,15.066,nan,0.141,72
73.38,burst,238.781,14.145,16.02,nan,0.141,72
75.85,burst,236.066,14.258,16.738,nan,0.141,72
78.35,burst,241.934,14.887,18.777,nan,0.141,72
81.08,burst,244.867,14.828,20.25,nan,0.141,72
83.85,burst,248.742,14.883,26.82,nan,0.141,72
86.21,burst,213.875,14.883,28.203,nan,0.273,71
89.75,burst,218.766,14.902,30.633,nan,nan,70
98.62,sustained,260.969,14.926,41.094,nan,nan,71
101.04,sustained,276.691,15.094,41.105,nan,4.023,72
103.93,sustained,285.832,15.16,41.109,nan,4.023,72
106.13,sustained,296.836,15.242,41.109,nan,4.023,72
108.33,sustained,300.203,15.246,41.109,nan,4.023,72
111.67,sustained,317.387,15.352,41.109,nan,4.023,72
114.14,sustained,320.445,15.391,41.109,nan,4.023,72
116.74,sustained,322.895,15.395,41.281,nan,4.023,72
126.33,sustained,354.047,15.352,41.035,nan,3.172,72
132.34,sustained,334.988,15.219,29.477,nan,0.906,72
138.2,sustained,271.199,14.965,12.91,nan,0.527,72
143.55,sustained,320.453,15.117,18.727,nan,0.277,72
149.02,sustained,356.934,15.242,19.254,nan,0.277,72
154.3,sustained,365.211,15.094,28.074,nan,0.078,72
159.33,sustained,337.445,14.953,27.727,nan,0.078,72
164.8,sustained,250.09,14.527,22.422,nan,0.047,72
170.62,sustained,205.293,14.219,15.453,nan,0.047,72
173.91,sustained,174.461,13.684,12.988,nan,0.047,72
179.83,sustained,178.887,14.262,11.332,nan,0.047,72
186.23,sustained,199.102,13.477,13.027,nan,0.047,72
189.22,sustained,193.895,13.598,12.535,nan,0.047,72
195.09,sustained,170.184,9.605,11.871,nan,0.047,72
200.12,sustained,199.508,15.0,13.535,nan,0.047,72
204.61,sustained,229.422,15.141,14.66,nan,0.047,72
208.22,sustained,238.609,15.297,15.621,nan,0.047,72
211.99,sustained,259.637,15.426,16.629,nan,0.047,72
216.45,sustained,308.66,15.512,29.145,nan,0.047,72
219.7,sustained,361.383,15.668,31.965,nan,0.047,72
222.22,sustained,364.656,15.684,32.465,nan,0.047,72
226.57,sustained,344.223,15.707,35.547,nan,nan,70
230.58,cooldown,393.246,15.711,43.59,nan,nan,70
235.83,cooldown,418.598,15.734,44.312,nan,nan,70
