t_sec,phase,total_python_rss_mb,command_centre_rss_mb,triage_rss_mb,gateway_rss_mb,traffic_rss_mb,python_proc_count
3.12,warmup,395.566,18.523,9.629,nan,nan,70
7.35,burst,444.652,18.52,9.617,nan,4.031,72
13.63,burst,479.871,18.637,9.598,nan,4.031,72
17.23,burst,434.887,17.281,9.117,nan,3.691,72
21.35,burst,447.977,17.316,21.172,nan,3.691,72
24.96,burst,468.363,17.352,24.973,nan,3.691,72
28.56,burst,469.07,17.371,25.156,nan,3.691,72
32.73,burst,470.223,17.383,25.488,nan,3.691,72
37.1,burst,373.125,15.793,24.996,nan,1.793,72
40.07,burst,348.906,15.824,25.148,nan,1.793,72
42.93,burst,361.234,15.914,26.211,nan,1.793,72
45.6,burst,369.914,16.008,26.953,nan,1.793,72
51.49,burst,388.402,16.238,27.012,nan,0.977,72
55.65,burst,415.77,16.344,27.156,nan,0.977,72
59.8,burst,417.062,16.363,27.34,nan,0.977,72
65.78,sustained,450.227,16.297,43.125,nan,3.348,72
70.54,sustained,506.289,16.305,43.73,nan,3.348,72
74.95,sustained,465.988,15.938,40.582,nan,3.348,72
78.5,sustained,474.215,15.949,43.578,nan,3.348,72
82.06,sustained,474.961,15.953,43.691,nan,3.348,72
86.01,sustained,475.527,15.953,43.789,nan,3.348,72
89.54,sustained,476.422,15.969,44.121,nan,3.348,72
92.94,sustained,477.176,15.996,44.676,nan,3.324,72
96.49,sustained,479.676,16.0,47.965,nan,3.324,72
102.88,sustained,481.766,16.031,43.508,nan,1.723,72
106.57,sustained,458.176,16.027,43.242,nan,0.938,72
109.88,sustained,460.234,16.051,44.5,nan,0.938,72
115.26,sustained,462.082,16.102,45.062,nan,0.938,72
122.1,sustained,413.422,16.074,40.992,nan,0.473,72
128.2,sustained,360.465,15.148,37.527,nan,0.238,72
132.33,sustained,261.219,14.598,32.816,nan,0.066,72
136.42,sustained,252.418,14.77,34.012,nan,0.066,72
141.4,sustained,241.023,15.016,35.227,nan,nan,71
146.41,cooldown,245.551,15.129,36.059,nan,nan,70
151.11,cooldown,257.297,15.5,34.953,nan,nan,70
